frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
686,5.6680153,243.275915,392.000061,56.14059578,90.46155255,0,0.230769231,-0.026790708,-8.99E-09,0,0.296174625,-4.52E-07,0.296174625,0
687,5.679623,243.2962928,392.000061,56.14529833,90.46155255,0,0.230769231,-0.022088159,-9.10E-09,0,0.193228994,-5.05E-08,0.193228994,0
688,5.6833206,243.3311304,392.000061,56.15333778,90.46155255,0,0.230769231,-0.014048707,-9.13E-09,0,0.175672221,-2.43E-08,0.175672221,0
689,5.6956395,243.366207,392.000061,56.16143238,90.46155255,0,0.230769231,-0.005954109,-9.13E-09,0,1.129553293,-3.45E-09,1.129553293,0
690,5.7106855,243.3979787,392.000061,56.16876433,90.46155255,0,0.230769231,0.001377839,-9.13E-09,0,1.131272373,-1.61E-09,1.131272373,0
691,5.7140087,243.4256856,392.000061,56.17515822,90.46155255,0,0.230769231,0.007771736,-9.13E-09,0,0.945009676,-1.60E-10,0.945009676,0
692,5.7271858,243.4493093,392.000061,56.18060984,90.46155255,0,0.230769231,0.013223348,-9.13E-09,0,0.876151259,-5.10E-11,0.876151259,0
693,5.7308512,243.4690511,392.000061,56.18516564,90.46155255,0,0.230769231,0.017779153,-9.13E-09,0,0.94727799,-2.87E-11,0.94727799,0
694,5.7427919,243.4852361,392.000061,56.18890064,90.46155255,0,0.230769231,0.021514152,-9.13E-09,0,0.59992709,-3.06E-12,0.59992709,0
695,5.7463434,243.4982087,392.000061,56.19189433,90.46155255,0,0.230769231,0.024507839,-9.13E-09,0,0.620004089,-1.55E-12,0.620004089,0
696,5.7588158,243.5083298,392.000061,56.19422995,90.46155255,0,0.230769231,0.026843468,-9.13E-09,0,0.390488118,7.99E-05,0.390488126,0
697,5.7622324,243.5159412,392.000061,56.19598644,90.46155255,0,0.230769231,0.028599954,-9.13E-09,0,0.374671363,0.000447009,0.37467163,0
698,5.7754528,243.5214032,392.0000381,56.1972469,90.46154726,0,0.230769231,0.02986041,5.27E-06,0,0.214302149,0.000563251,0.214302889,0
699,5.7790498,243.5250461,392.0000095,56.19808756,90.46154066,0,0.230769231,0.030701071,1.19E-05,0,0.189040202,0.000976311,0.189042723,0
700,5.7909775,243.5271699,391.9999795,56.19857766,90.46153373,0,0.230769231,0.031191177,1.88E-05,0,0.085904663,0.001004557,0.085910537,0
701,5.7943741,243.528067,391.9999491,56.1987847,90.46152671,0,0.230769231,0.031398214,2.58E-05,0,0.056508839,0.000947868,0.056516788,0
702,5.806792,243.5279823,391.9999415,56.19876515,90.46152496,0,0.230769231,0.031378667,2.76E-05,0,0.004389604,0.000582572,0.004428093,0
703,5.810569,243.5271372,391.9999396,56.19857012,90.46152452,0,0.230769231,0.031183633,2.80E-05,0,-1.034794279,0.000467756,1.034794385,0
704,5.8226972,243.5257243,391.9999391,56.19824406,90.46152441,0,0.230769231,0.030857575,2.81E-05,0,-1.431109508,5.48E-05,1.43110951,0
705,5.8265411,243.4398608,391.999939,56.17842941,90.46152439,0,0.230769231,0.011042925,2.82E-05,0,-1.487545147,2.67E-05,1.487545147,0
706,5.8381241,243.343459,391.999939,56.15618285,90.46152438,0,0.230769231,-0.011203641,2.82E-05,0,-1.412685884,3.45E-06,1.412685884,0
